,0,1,2,3,4,5,6
0,MCD,5.6251199999995585,0.9393675914521521,5.558865892874284,12.260737853911303,178.91851480358275,1.2905112814840476
1,COST,31.15776999999967,1.1447762592918327,23.611547319928615,37.20863431852756,755.4534908573034,2.1464878046436024
2,TJX,-20.210920000000186,0.0,0.0,0.0,-90.65872185279308,0.24486676014571745
3,CMCSA,18.62897000000044,0.8158973613393151,9.806767032037355,26.857003255918166,501.1778573674148,1.7823987750709145
4,SCHG,23.6503,1.9973630717657038,71.71974695903702,59.98972856466424,560.0664210220323,10.271178775125207
5,VFH,11.924509999999588,2.489270741979727,22.945914869713018,26.14028975117933,154.88510258672002,3.38300755292048
6,GE,42.6649000000004,0.42634943307620116,100.46358796752806,280.7876974323992,4071.861973401752,3.021238116909039
7,JPM,19.78897000000015,2.1943696243968622,37.32709939929603,53.60025840144362,496.80441794108265,5.4531271631336535
8,VGLT,0.3169500000001426,0.21826380447083055,0.41479476957584066,0.7832055239016105,3.3785307027544675,1.0678896700300153
9,IVV,9.416619999999995,2.3413190419459773,7.950473342548389,13.492991315709672,110.15748042092399,3.209330119324825
10,SCHX,-10.209569999999744,0.0,0.0,0.0,-67.72133687496833,0.483599422864809
11,IEFA,0.7008000000001193,0.25256285173878673,0.4860022056050639,0.8008172615235355,7.608274569729279,1.0875678910452413
12,ABT,17.449780000000217,0.6784439383998303,8.562290972289412,25.64741672865175,441.3126546320718,1.560863598147542
13,VPU,3.684080000000424,1.561747615826209,6.956419336071735,10.465500118187968,113.45694595733535,1.27820219403888
14,BBCA,-9.191099999999714,0.0,0.0,0.0,-63.66305956810221,0.36051481224321175
15,XLRE,24.6841299999999,1.3728205901380595,67.0541046705777,103.73527999896591,913.9519679952402,2.6556195289470512
16,SCHF,-0.15603999999967347,0.0,0.0,0.0,-1.626329727416087,1.0067266768469845
17,IWY,-11.68209999999954,0.0,0.0,0.0,-72.86613207963104,0.6617068953201938
18,IYW,-5.235050000000658,0.0,0.0,0.0,-58.702680601698944,0.9323731365951863
19,MS,62.72360999999967,0.7546524510590308,220.17481059526014,717.0557202269109,6032.692292333846,4.97007437424561
20,NKE,-6.954299999999945,0.0,0.0,0.0,-42.560997773057586,0.0
21,LOW,43.74437999999994,1.8151562202518452,188.24245056612943,213.9270808062235,2202.4862400865622,4.518710690857825
22,NOW,33.07966000000009,0.606419062628335,14.675754641719646,25.38248340693037,728.0574629932769,1.9266889492266275
23,VNQ,17.647520000000235,1.3590486377239104,29.094883448373928,40.169502376730826,450.95883989854474,2.3264506709657886
24,SCHA,3.1670200000002806,0.33166312665000525,0.9800378833457111,1.6812976076847488,38.732848500252956,1.1633398427400177
25,UNH,-0.3858599999993021,0.4648104443273109,2.0285517872508865,3.032222906106999,59.39297326172665,1.0697481904224333
26,PEP,1.0120000000000873,1.2230071392073771,5.011895520162829,8.229627202747649,131.6721320954555,1.0882914068706102
