Symbol,Expir,Strike,Type,Ask
BITX,20240412,53.0,C,3.3
ARKG,20240412,27.0,C,0.65
TMV,20240412,36.5,C,1.05
ARKK,20240412,45.0,C,3.3
SVXY,20240412,105.0,C,5.9
UPRO,20240412,68.0,C,1.65
YINN,20240412,19.5,C,0.85
GDXJ,20240412,37.0,C,5.05
MJ,20240419,4.0,C,0.55
QLD,20240419,77.0,C,9.8
JDST,20240419,4.0,C,0.35
FAS,20240412,108.0,C,3.1
NVD,20240419,5.0,C,0.65
MSOX,20240419,6.0,C,1.1
MSOS,20240412,10.0,C,0.58
USO,20240410,79.0,C,3.55
URA,20240412,29.0,C,1.55
CONY,20240419,26.0,C,1.15
DPST,20240412,73.0,C,3.2
UVIX,20240412,9.5,C,0.65
TSLT,20240419,10.0,C,1.15
SPXU,20240412,6.5,C,0.23
DBC,20240419,20.0,C,5.7
SPXL,20240412,128.0,C,3.9
JNUG,20240412,38.0,C,2.0
BOIL,20240412,14.0,C,0.67
DRV,20240419,36.0,C,2.3
SLV,20240410,24.5,C,0.98
AGQ,20240419,35.0,C,2.25
UCO,20240412,35.0,C,0.9
GLD,20240410,200.0,C,16.65
CAH,20240419,100.0,C,11.8
OSCR,20240419,12.5,C,2.55
CAR,20240412,120.0,C,4.0
XOM,20240412,108.0,C,13.0
Z,20240412,45.5,C,2.58
TTD,20240412,80.0,C,7.2
WAL,20240412,61.0,C,1.5
WB,20240412,8.5,C,0.45
INSP,20240419,220.0,C,16.3
SHEL,20240412,66.0,C,6.1
BAC,20240412,34.5,C,3.5
DDOG,20240419,114.0,C,13.65
BZ,20240419,17.5,C,2.3
ZETA,20240419,10.0,C,2.5
GOOG,20240412,144.0,C,12.75
TDOC,20240426,14.0,C,1.35
RGLS,20240419,2.5,C,0.55
PYXS,20240419,5.0,C,1.0
CAVA,20240412,64.0,C,2.0
VFS,20240412,4.0,C,0.21
VOD,20240419,8.0,C,0.68
NYCB,20240426,3.0,C,0.55
KMX,20240412,82.0,C,4.1
ONON,20240412,32.0,C,1.13
APP,20240412,74.5,C,4.4
MESO,20240419,6.0,C,1.0
WFC,20240412,57.0,C,1.78
STAA,20240419,47.5,C,3.2
OXY,20240412,62.0,C,6.95
MPW,20240412,4.0,C,0.18
M,20240412,19.5,C,0.52
RDFN,20240412,6.0,C,0.35
NCLH,20240412,19.0,C,0.66
NEM,20240412,35.0,C,4.95
BITF,20240412,2.0,C,0.15
AAPL,20240412,150.0,C,19.1
VKTX,20240419,75.0,C,4.3
MDB,20240412,360.0,C,9.2
TUP,20240412,1.0,C,0.21
HOOD,20240412,18.5,C,0.52
AGL,20240419,5.0,C,0.45
FCEL,20240419,1.0,C,0.2
PBR,20240412,15.5,C,0.44
CIFR,20240412,4.0,C,0.45
CCJ,20240412,48.5,C,1.12
ETSY,20240412,64.0,C,2.83
CENX,20240419,17.0,C,0.9
FSM,20240419,4.5,C,0.35
RIG,20240412,6.5,C,0.18
SAVE,20240412,4.5,C,0.33
HOG,20240412,41.0,C,2.45
CCL,20240412,15.0,C,0.8
AMZN,20240412,172.5,C,13.4
OCEA,20240419,2.5,C,0.45
ON,20240412,67.0,C,2.67
IRBT,20240412,8.5,C,1.6
SAVA,20240419,23.0,C,1.64
PLUG,20240412,3.0,C,0.22
BILI,20240412,11.0,C,0.33
CRSP,20240412,64.0,C,1.45
TSVT,20240419,5.0,C,1.25
AA,20240412,36.0,C,1.03
VALE,20240412,12.0,C,0.6
AMRK,20240419,35.0,C,4.7
VERU,20240419,1.0,C,0.1
ARM,20240412,129.0,C,3.6
ENPH,20240412,115.0,C,3.7
FSLY,20240412,13.0,C,0.68
CVNA,20240412,82.0,C,3.1
RDDT,20240412,46.0,C,2.3
ELF,20240412,165.0,C,4.4
SNDL,20240412,2.0,C,0.31
VRT,20240412,84.0,C,2.25
MRNA,20240412,105.0,C,2.29
UBER,20240412,73.0,C,2.83
DAL,20240412,47.0,C,1.4
QS,20240412,6.0,C,0.26
PTON,20240412,3.5,C,0.31
CGC,20240412,10.0,C,0.9
LCID,20240412,2.5,C,0.2
FUBO,20240412,1.5,C,0.11
PYPL,20240412,60.0,C,6.8
TSM,20240412,142.0,C,3.25
PARA,20240419,11.0,C,0.57
NKLA,20240412,1.0,C,0.08
TGTX,20240412,14.5,C,0.7
ACB,20240412,7.0,C,0.68
PATH,20240412,21.5,C,0.6
ALB,20240412,130.0,C,3.9
UAL,20240412,43.0,C,1.21
LYFT,20240412,17.5,C,0.69
NET,20240412,94.0,C,2.73
ALCC,20240419,12.5,C,3.9
COIN,20240412,255.0,C,10.0
RUM,20240412,6.5,C,0.25
TLRY,20240412,2.5,C,0.31
AFRM,20240412,34.0,C,1.29
MU,20240412,122.0,C,3.05
LMND,20240412,17.0,C,0.5
U,20240412,26.0,C,0.67
AMRN,20240419,1.0,C,0.15
GEO,20240412,15.5,C,0.65
F,20240412,12.5,C,1.0
KGC,20240412,6.0,C,0.45
DKNG,20240412,45.5,C,1.0
NTLA,20240419,25.0,C,1.8
W,20240412,65.0,C,2.01
RILY,20240412,26.0,C,1.75
APLD,20240412,3.0,C,0.4
RIOT,20240412,10.0,C,0.45
JBLU,20240412,7.0,C,0.21
TSLA,20240412,170.0,C,5.55
