,Symbol,sl
0,SPGI,370.2512908242009
1,FITBI,25.00486764081406
2,BAP,133.63736983616695
3,VLYPP,24.53276461628209
4,AYX,35.99437558421599
5,YY,17.80255104256088
6,SHO,11.056105360809509
7,CNNE,18.23087365670815
8,CTOS,7.173424726398175
9,CGAU,4.987758731254673
10,KIDS,46.895217650839
11,INN,8.573505599878374
12,RWT,8.461656125652318
13,CEVA,28.77425787670429
14,DENN,11.246043715892693
15,LIND,10.478429948058496
16,NID,13.294620876830214
17,MESO,0.4922800841148085
18,MTW,12.530613295535552
19,PETS,18.791796851187357
20,EAD,6.871878015372588
21,GWRS,14.441802768214641
22,NCA,8.456587891679334
23,AGS,6.434510993996645
24,DHY,1.919612280797165
25,CTXR,1.2403082262311225
26,PIM,3.2304259081771596
27,JPT,18.62528152215495
28,EARN,7.15672401495798
29,GASS,2.683688570263447
30,AQMS,0.7043181928567392
31,FTK,0.7522326110677842
32,MCHX,1.8632684673486613
33,ETON,1.6464457459144102
34,REFR,1.7397589243674891
35,INUV,0.3777265640156392
36,JMM,5.971317558377834
37,ISR,0.21176328561191382
38,NXN,11.619087254808449
39,KRKR,0.36591508045502197
40,FSI,2.9506547713958304
41,CPIX,2.318852450626936
42,FGF,2.1173595682712705
43,YTEN,1.6468780605615727
44,NULG,54.078182947179755
45,ISHP,26.285042498989466
46,SCHC,33.17198890365029
47,FLMB,23.177961519118305
48,IWO,224.88442494552595
49,IBMN,26.151820800740907
50,PWZ,24.02970035605046
51,NZAC,28.273690394903785
52,REK,17.085295503504426
53,BSMP,24.175425857665648
54,VBK,214.9963807448018
55,BIBL,32.74891583059492
56,CHIH,14.405219621614924
57,IWP,88.53814754319335
58,CYB,25.47190944387749
59,KLDW,37.73703757441782
60,VTWG,163.80427658385105
61,QINT,41.15059589744722
62,PGM,45.299929362468234
