symbol,close,divPer,div
8975,81200.0,6.61,5367.32
3476,41400.0,5.72,2368.08
8979,180100.0,5.7,10265.7
3451,130900.0,5.67,7422.03
8972,148100.0,5.3,7849.3
8956,110500.0,5.09,5624.45
3309,74200.0,4.78,3546.76
9163,2374.0,4.63,109.91619999999999
3471,409000.0,4.55,18609.5
3248,886.0,4.06,35.971599999999995
3475,896.0,4.02,36.0192
3287,465000.0,3.91,18181.5
8917,1101.0,3.91,43.049099999999996
2373,443.0,3.84,17.0112
7827,1645.0,3.83,63.0035
4996,796.0,3.77,30.0092
4627,1411.0,3.54,49.9494
6309,3820.0,3.3,126.06
3974,395.0,3.29,12.9955
7804,1834.0,3.27,59.9718
1873,338.0,3.25,10.985
1840,218.0,3.21,6.9978
7856,1561.0,3.2,49.952000000000005
2198,762.0,3.15,24.002999999999997
7265,3615.0,3.04,109.896
2301,1747.0,2.98,52.0606
9251,991.0,2.83,28.0453
9824,4685.0,2.77,129.77450000000002
9678,2754.0,2.72,74.9088
7131,2031.0,2.71,55.0401
8077,224.0,2.68,6.0032000000000005
7279,1529.0,2.62,40.0598
4441,773.0,2.35,18.1655
3480,2717.0,2.25,61.1325
7378,1052.0,2.17,22.828400000000002
7605,1855.0,2.16,40.068000000000005
3804,1354.0,1.77,23.965799999999998
5218,1322.0,1.74,23.0028
2375,319.0,1.57,5.0083
7983,1296.0,1.54,19.9584
7831,136.0,1.47,1.9991999999999999
7033,1853.0,1.39,25.756699999999995
212,1467.0,1.36,19.9512
8079,4465.0,1.12,50.008
3733,12510.0,1.04,130.10399999999998
6838,707.0,0.73,5.1611
3038,3802.0,0.6,22.811999999999998
9603,1688.0,0.59,9.9592
3121,353.0,0.57,2.0120999999999998
9279,3180.0,0.57,18.125999999999998
2695,3970.0,0.5,19.85
4880,1174.0,0.43,5.0482
1383,3060.0,0.33,10.098
4666,1864.5,0.27,5.03415
